axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi,backbone,probe,seed
power_line,15,naive,0.644868,0.5,0.543478,276,0.582049,0.711604,biot,linear,7
power_line,30,canonicalized,0.879048,0.799365,0.065938,276,0.836295,0.921114,biot,linear,7
power_line,30,naive,0.656825,0.5,0.543478,276,0.595714,0.72203,biot,linear,7
power_line,5,canonicalized,0.878624,0.795397,0.065188,276,0.836181,0.920862,biot,linear,7
power_line,5,naive,0.645185,0.5,0.543406,276,0.583315,0.710694,biot,linear,7
power_line,60,canonicalized,0.87836,0.802698,0.066104,276,0.835921,0.920851,biot,linear,7
power_line,60,naive,0.648466,0.5,0.543478,276,0.590157,0.718067,biot,linear,7
sampling_rate,128,canonicalized,0.594921,0.499365,0.504308,276,0.521795,0.656787,biot,linear,7
sampling_rate,128,naive,0.673704,0.59381,0.193111,276,0.607671,0.733176,biot,linear,7
sampling_rate,200,canonicalized,0.876614,0.813492,0.058321,276,0.832999,0.917575,biot,linear,7
sampling_rate,200,naive,0.57672,0.601746,0.286825,276,0.505015,0.645198,biot,linear,7
sampling_rate,250,canonicalized,0.878624,0.795397,0.064986,276,0.836081,0.920602,biot,linear,7
sampling_rate,250,naive,0.878624,0.795397,0.064986,276,0.836081,0.920602,biot,linear,7
sampling_rate,256,canonicalized,0.878148,0.792063,0.06607,276,0.835554,0.920017,biot,linear,7
sampling_rate,256,naive,0.86873,0.767143,0.138197,276,0.823591,0.911755,biot,linear,7
sampling_rate,512,canonicalized,0.878571,0.795397,0.066562,276,0.83587,0.920701,biot,linear,7
sampling_rate,512,naive,0.549312,0.504127,0.500512,276,0.473384,0.618426,biot,linear,7
broadband,-5,canonicalized,0.701058,0.5,0.34681,276,0.641212,0.760589,biot,mlp,11
broadband,-5,naive,0.701058,0.5,0.34681,276,0.641212,0.760589,biot,mlp,11
broadband,0,canonicalized,0.788307,0.5,0.350465,276,0.73288,0.836578,biot,mlp,11
broadband,0,naive,0.788307,0.5,0.350465,276,0.73288,0.836578,biot,mlp,11
broadband,10,canonicalized,0.83455,0.563333,0.297893,276,0.786022,0.880639,biot,mlp,11
broadband,10,naive,0.83455,0.563333,0.297893,276,0.786022,0.880639,biot,mlp,11
broadband,20,canonicalized,0.836138,0.681746,0.166673,276,0.785444,0.88032,biot,mlp,11
broadband,20,naive,0.836138,0.681746,0.166673,276,0.785444,0.88032,biot,mlp,11
broadband,5,canonicalized,0.807937,0.516667,0.330495,276,0.75962,0.856033,biot,mlp,11
broadband,5,naive,0.807937,0.516667,0.330495,276,0.75962,0.856033,biot,mlp,11
calibration,0.5,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
calibration,0.5,naive,0.834286,0.610159,0.304866,276,0.784815,0.87897,biot,mlp,11
