axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.898783,0.82127,0.087254,276,0.862796,0.93397
bandwidth,100.0,naive,0.898783,0.82127,0.087254,276,0.862796,0.93397
bandwidth,15.0,canonicalized,0.852169,0.5,0.541644,276,0.800837,0.898467
bandwidth,15.0,naive,0.852169,0.5,0.541644,276,0.800837,0.898467
bandwidth,20.0,canonicalized,0.83582,0.5,0.542658,276,0.783694,0.883922
bandwidth,20.0,naive,0.83582,0.5,0.542658,276,0.783694,0.883922
bandwidth,25.0,canonicalized,0.834497,0.5,0.542279,276,0.782938,0.881747
bandwidth,25.0,naive,0.834497,0.5,0.542279,276,0.782938,0.881747
bandwidth,30.0,canonicalized,0.840423,0.5,0.540023,276,0.793909,0.886578
bandwidth,30.0,naive,0.840423,0.5,0.540023,276,0.793909,0.886578
bandwidth,40.0,canonicalized,0.839259,0.5,0.530931,276,0.79062,0.886407
bandwidth,40.0,naive,0.839259,0.5,0.530931,276,0.79062,0.886407
bandwidth,50.0,canonicalized,0.837884,0.5,0.523619,276,0.788774,0.88556
bandwidth,50.0,naive,0.837884,0.5,0.523619,276,0.788774,0.88556
bandwidth,64.0,canonicalized,0.833016,0.5,0.509277,276,0.784061,0.881663
bandwidth,64.0,naive,0.833016,0.5,0.509277,276,0.784061,0.881663
bandwidth,80.0,canonicalized,0.859418,0.533333,0.426697,276,0.81587,0.903868
bandwidth,80.0,naive,0.859418,0.533333,0.426697,276,0.81587,0.903868
