axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.886243,0.822381,0.07352,276,0.844331,0.92355
bandwidth,15.0,canonicalized,0.876402,0.775397,0.145956,276,0.831983,0.916369
bandwidth,20.0,canonicalized,0.891164,0.833968,0.110344,276,0.850524,0.928254
bandwidth,25.0,canonicalized,0.89418,0.818254,0.076993,276,0.853078,0.932067
bandwidth,30.0,canonicalized,0.895344,0.810317,0.088663,276,0.854016,0.932284
bandwidth,40.0,canonicalized,0.89619,0.826984,0.062107,276,0.85523,0.93161
bandwidth,50.0,canonicalized,0.895026,0.826349,0.054672,276,0.854276,0.931272
bandwidth,64.0,canonicalized,0.891376,0.833651,0.068651,276,0.849983,0.927623
bandwidth,80.0,canonicalized,0.889577,0.819048,0.065642,276,0.848536,0.925725
