axis,severity,arm,identity,d_auroc,tv_marginal,tv_marginal_hist,tv_pos,tv_neg,cc_bound,pinsker_cc,implied_C,cc_holds
sampling_rate,128,naive,False,0.1691005291005292,0.16756013581355578,0.3442028985507247,0.14786584331765013,0.38423250865876973,0.5320983519764199,0.6435366974585734,1.0091930773360522,True
sampling_rate,128,canonicalized,False,0.0003703703703705763,0.02972124988813919,0.11231884057971014,0.0156667370365393,0.07721743205842894,0.09288416909496824,0.12210932645804373,0.012461466855012022,True
sampling_rate,200,naive,False,0.021216931216931356,0.13559086280103583,0.27536231884057977,0.14083577101380482,0.2653768424265909,0.4062126134403957,0.5496357926697895,0.15647758837603085,True
sampling_rate,200,canonicalized,False,0.0,0.0067145070264920115,0.08695652173913042,0.0027575762628847204,0.018204234859610424,0.020961811122495143,0.028360833013829745,0.0,True
sampling_rate,250,naive,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
sampling_rate,250,canonicalized,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
sampling_rate,256,naive,False,0.0058201058201058364,0.06322930697645324,0.10869565217391304,0.0818541267966709,0.10054874236913997,0.18240286916581086,0.2546105646280864,0.09204759783739619,True
sampling_rate,256,canonicalized,False,0.00010582010582005363,0.00027203472939556466,0.007246376811594204,0.00035880382483334376,0.0004673404244158127,0.0008261442492491565,0.0011061574445156834,0.3889948392073904,True
sampling_rate,512,naive,False,0.18084656084656092,0.3080422247611244,0.4347826086956522,0.18176545435327635,0.6145546125791337,0.79632006693241,1.0283280595899535,0.5870836733074528,True
sampling_rate,512,canonicalized,False,0.0,0.0006300115270691309,0.01811594202898551,0.0008078141420383982,0.0011486121713298219,0.00195642631336822,0.002633193882416442,0.0,True
calibration,0.5,naive,False,0.07317460317460323,0.24621043826374314,0.29710144927536236,0.2629646861419218,0.415503665495941,0.6784683516378628,1.173603421133119,0.2972034966942297,True
calibration,0.5,canonicalized,False,0.0,7.454550857113165e-10,0.0,1.938260832355885e-09,1.2181592007187974e-09,3.156420033074682e-09,0.0,,True
calibration,0.75,naive,False,0.04158730158730162,0.10538514549243495,0.1702898550724638,0.1192340062895915,0.20759309176141721,0.32682709805100874,0.52265649428694,0.3946220446247517,True
calibration,0.75,canonicalized,False,0.0,9.714191132024631e-09,0.0,1.4407392013980132e-08,1.0160371342562984e-08,2.4567763356543116e-08,3.315128194379194e-08,0.0,True
calibration,1.0,naive,False,0.02058201058201059,0.06286142248569945,0.11594202898550723,0.08783701301768115,0.08820725124295353,0.1760442642606347,0.269616489457845,0.327418785133169,True
calibration,1.0,canonicalized,True,0.0,7.454550857113165e-10,0.0,1.938260832355885e-09,1.2181592007187974e-09,3.156420033074682e-09,0.0,,True
calibration,1.5,naive,False,0.005291005291005346,0.0817438214810817,0.16666666666666663,0.12252309195011434,0.08285651327892532,0.20537960522903964,0.29458485405646895,0.06472666918599915,True
calibration,1.5,canonicalized,False,0.0,9.714191132024631e-09,0.0,1.4407392013980132e-08,1.0160371342562984e-08,2.4567763356543116e-08,3.315128194379194e-08,0.0,True
calibration,2.0,naive,False,0.011957671957672056,0.14100584939217847,0.22463768115942026,0.1884398740507221,0.20625245646264484,0.39469233051336694,0.5588560447834605,0.08480266605404628,True
calibration,2.0,canonicalized,False,0.0,7.454550857113165e-10,0.0,1.938260832355885e-09,1.2181592007187974e-09,3.156420033074682e-09,0.0,,True
power_line,0.0,naive,False,0.007671957671957719,0.09396613108719298,0.13768115942028986,0.1297193012664103,0.11814328096941831,0.2478625822358286,0.37283660723551026,0.08164598864710905,True
power_line,0.0,canonicalized,True,0.0,7.454550857113165e-10,0.0,1.938260832355885e-09,1.2181592007187974e-09,3.156420033074682e-09,0.0,,True
power_line,5.0,naive,False,0.01312169312169309,0.36059550162431186,0.4094202898550725,0.44980679533498,0.5264245998346415,0.9762313951696215,1.5738863816184734,0.03638895400132858,True
power_line,5.0,canonicalized,False,5.291005291008233e-05,0.00014125227444884155,0.0,8.352152900663714e-05,0.00042017759843183744,0.0005036991274384745,0.0006802703397545775,0.37457841380986173,True
