axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.903492,0.815714,0.122972,276,0.8675,0.935243
bandwidth,15.0,canonicalized,0.901164,0.59873,0.377991,276,0.86232,0.934454
bandwidth,20.0,canonicalized,0.90037,0.724921,0.226314,276,0.861419,0.933337
bandwidth,25.0,canonicalized,0.901799,0.786349,0.150893,276,0.863492,0.934663
bandwidth,30.0,canonicalized,0.901905,0.801111,0.130286,276,0.864333,0.934603
bandwidth,40.0,canonicalized,0.901905,0.807778,0.124839,276,0.864701,0.934396
bandwidth,50.0,canonicalized,0.901481,0.804444,0.124376,276,0.864278,0.934132
bandwidth,64.0,canonicalized,0.902328,0.785714,0.147722,276,0.864761,0.934927
bandwidth,80.0,canonicalized,0.902116,0.783016,0.152184,276,0.865708,0.934659
