axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.762063,0.503333,0.451707,276,0.705016,0.817729
broadband,-5.0,naive,0.762063,0.503333,0.451707,276,0.705016,0.817729
broadband,0.0,canonicalized,0.787725,0.532698,0.401143,276,0.736392,0.840532
broadband,0.0,naive,0.787725,0.532698,0.401143,276,0.736392,0.840532
broadband,10.0,canonicalized,0.840847,0.671746,0.220646,276,0.789935,0.884709
broadband,10.0,naive,0.840847,0.671746,0.220646,276,0.789935,0.884709
broadband,20.0,canonicalized,0.875079,0.754921,0.108764,276,0.833015,0.911495
broadband,20.0,naive,0.875079,0.754921,0.108764,276,0.833015,0.911495
broadband,5.0,canonicalized,0.825291,0.610794,0.309745,276,0.775971,0.873271
broadband,5.0,naive,0.825291,0.610794,0.309745,276,0.775971,0.873271
calibration,0.5,canonicalized,0.895026,0.806984,0.068529,276,0.855918,0.929153
calibration,0.5,naive,0.826772,0.671587,0.287547,276,0.775074,0.872872
calibration,0.75,canonicalized,0.895026,0.806984,0.068529,276,0.855918,0.929153
calibration,0.75,naive,0.863439,0.750635,0.164971,276,0.817987,0.903705
calibration,1.0,canonicalized,0.895026,0.806984,0.068529,276,0.855918,0.929153
calibration,1.0,naive,0.875714,0.746984,0.125917,276,0.833743,0.913762
calibration,1.5,canonicalized,0.895026,0.806984,0.068529,276,0.855918,0.929153
calibration,1.5,naive,0.870952,0.77127,0.118966,276,0.827603,0.91045
calibration,2.0,canonicalized,0.895026,0.806984,0.068529,276,0.855918,0.929153
calibration,2.0,naive,0.868254,0.735714,0.209191,276,0.821987,0.909374
montage,bipolar18,canonicalized,0.875661,0.703651,0.242456,276,0.832529,0.918426
montage,bipolar18,naive,0.873968,0.710952,0.251403,276,0.830208,0.917361
montage,full19,canonicalized,0.895026,0.806984,0.068529,276,0.855918,0.929153
montage,full19,naive,0.895026,0.806984,0.068529,276,0.855918,0.929153
montage,legacy16,canonicalized,0.887302,0.783333,0.103998,276,0.846345,0.925931
montage,legacy16,naive,0.89291,0.774603,0.139665,276,0.855288,0.927948
power_line,0.0,canonicalized,0.895026,0.806984,0.068529,276,0.855918,0.929153
power_line,0.0,naive,0.880582,0.754127,0.135433,276,0.838032,0.919259
power_line,15.0,canonicalized,0.895344,0.806984,0.068768,276,0.856448,0.929378
power_line,15.0,naive,0.818095,0.5,0.539656,276,0.768458,0.864181
power_line,30.0,canonicalized,0.894921,0.806984,0.068414,276,0.855556,0.92889
power_line,30.0,naive,0.669577,0.5,0.543209,276,0.603003,0.730583
power_line,5.0,canonicalized,0.895238,0.806984,0.06871,276,0.856344,0.929378
power_line,5.0,naive,0.878836,0.572698,0.442037,276,0.837019,0.916881
power_line,60.0,canonicalized,0.894974,0.806984,0.068688,276,0.856029,0.929119
power_line,60.0,naive,0.584497,0.5,0.54345,276,0.514847,0.651493
sampling_rate,128,canonicalized,0.893386,0.798254,0.072321,276,0.852434,0.928172
sampling_rate,128,naive,0.722698,0.604921,0.253097,276,0.652374,0.785635
sampling_rate,200,canonicalized,0.894233,0.803651,0.06926,276,0.854603,0.929317
sampling_rate,200,naive,0.86746,0.772698,0.138351,276,0.823594,0.908635
sampling_rate,250,canonicalized,0.895026,0.806984,0.068529,276,0.855918,0.929153
sampling_rate,250,naive,0.895026,0.806984,0.068529,276,0.855918,0.929153
sampling_rate,256,canonicalized,0.894815,0.806984,0.068463,276,0.85545,0.929153
sampling_rate,256,naive,0.891323,0.77746,0.104779,276,0.851374,0.925594
sampling_rate,512,canonicalized,0.895026,0.806984,0.068258,276,0.855869,0.929209
sampling_rate,512,naive,0.697249,0.549524,0.406824,276,0.637405,0.756836
