axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.890317,0.815397,0.069018,276,0.848253,0.928204
bandwidth,15.0,canonicalized,0.835767,0.63746,0.294001,276,0.788984,0.877844
bandwidth,20.0,canonicalized,0.679841,0.5,0.539956,276,0.61841,0.745687
bandwidth,25.0,canonicalized,0.822698,0.5,0.537393,276,0.76941,0.872021
bandwidth,30.0,canonicalized,0.83672,0.496032,0.466083,276,0.786134,0.883022
bandwidth,40.0,canonicalized,0.829947,0.658254,0.256055,276,0.777526,0.877147
bandwidth,50.0,canonicalized,0.714974,0.502063,0.474194,276,0.652266,0.769218
bandwidth,64.0,canonicalized,0.704339,0.509365,0.451488,276,0.644708,0.760954
bandwidth,80.0,canonicalized,0.811746,0.638095,0.343261,276,0.75961,0.857463
