axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.894127,0.806984,0.06872,276,0.854276,0.928947
bandwidth,15.0,canonicalized,0.899471,0.734921,0.225844,276,0.860258,0.931959
bandwidth,20.0,canonicalized,0.895873,0.791905,0.119693,276,0.857718,0.929689
bandwidth,25.0,canonicalized,0.896455,0.824762,0.077302,276,0.858501,0.930214
bandwidth,30.0,canonicalized,0.898783,0.815556,0.041972,276,0.860783,0.932332
bandwidth,40.0,canonicalized,0.899683,0.820952,0.052624,276,0.862104,0.932594
bandwidth,50.0,canonicalized,0.90037,0.816349,0.052627,276,0.862632,0.93344
bandwidth,64.0,canonicalized,0.893122,0.802222,0.065734,276,0.85206,0.92806
bandwidth,80.0,canonicalized,0.892381,0.792222,0.065796,276,0.851848,0.927411
