axis,severity,arm,identity,d_auroc,tv_marginal,tv_marginal_hist,tv_pos,tv_neg,cc_bound,pinsker_cc,implied_C,cc_holds
broadband,-5.0,canonicalized,False,0.2378835978835977,0.9059886977210956,0.8804347826086958,0.9142716410943633,0.9645077260824119,1.8787793671767752,2.5636932950145064,0.2625679530903255,True
broadband,-5.0,naive,False,0.2378835978835977,0.9059886977210956,0.8804347826086958,0.9142716410943633,0.9645077260824119,1.8787793671767752,2.5636932950145064,0.2625679530903255,True
broadband,0.0,canonicalized,False,0.1330158730158728,0.844049057331936,0.8333333333333334,0.881119153735248,0.9296828207943809,1.8108019745296289,2.3410491231235024,0.15759258524183406,True
broadband,0.0,naive,False,0.1330158730158728,0.844049057331936,0.8333333333333334,0.881119153735248,0.9296828207943809,1.8108019745296289,2.3410491231235024,0.15759258524183406,True
broadband,10.0,canonicalized,False,0.06809523809523799,0.5570224849009068,0.6340579710144929,0.6405237256140344,0.6780017930382898,1.3185255186523241,1.5572846867605683,0.12224863437487986,True
broadband,10.0,naive,False,0.06809523809523799,0.5570224849009068,0.6340579710144929,0.6405237256140344,0.6780017930382898,1.3185255186523241,1.5572846867605683,0.12224863437487986,True
broadband,20.0,canonicalized,False,0.05862433862433847,0.1840800267848932,0.3804347826086956,0.1723516695662984,0.3273041343720559,0.4996558039383543,0.6315005277600385,0.3184720235446508,True
broadband,20.0,naive,False,0.05862433862433847,0.1840800267848932,0.3804347826086956,0.1723516695662984,0.3273041343720559,0.4996558039383543,0.6315005277600385,0.3184720235446508,True
broadband,5.0,canonicalized,False,0.10391534391534374,0.7259527126334384,0.7681159420289856,0.7954226228813921,0.8403330247811309,1.635755647662523,1.9875858731713363,0.1431434060469096,True
broadband,5.0,naive,False,0.10391534391534374,0.7259527126334384,0.7681159420289856,0.7954226228813921,0.8403330247811309,1.635755647662523,1.9875858731713363,0.1431434060469096,True
calibration,0.5,canonicalized,False,0.0,6.647689087129759e-09,0.0,2.335576323113311e-08,3.7756699104002635e-08,6.111246233513574e-08,8.492633471133411e-08,0.0,True
calibration,0.5,naive,False,0.06449735449735428,0.2852222238786125,0.40942028985507256,0.22869057160047146,0.5589160473909878,0.7876066189914592,1.214109435703317,0.22613018586098554,True
calibration,0.75,canonicalized,False,0.0,1.7351284294624296e-08,0.0,3.2032540526960947e-08,6.559293685547093e-08,9.762547738243188e-08,1.401174699877627e-07,0.0,True
calibration,0.75,naive,False,0.052328042328042224,0.12985250159555722,0.28260869565217395,0.09199225099130165,0.31581330373402766,0.4078055547253293,0.6287684045383894,0.40298062559491404,True
calibration,1.0,canonicalized,True,0.0,6.647689087129759e-09,0.0,2.335576323113311e-08,3.7756699104002635e-08,6.111246233513574e-08,8.492633471133411e-08,0.0,True
calibration,1.0,naive,False,0.035661375661375394,0.046167751292042404,0.15217391304347833,0.011952987362991895,0.1609760011880204,0.1729289885510123,0.25270681491180885,0.7724304230412471,True
calibration,1.5,canonicalized,False,0.0,1.7351284294624296e-08,0.0,3.2032540526960947e-08,6.559293685547093e-08,9.762547738243188e-08,1.401174699877627e-07,0.0,True
calibration,1.5,naive,False,0.03148148148148122,0.04369463485880312,0.18478260869565222,0.002807765351461441,0.160905115993845,0.16371288134530643,0.23822440345767062,0.7204884897931279,True
calibration,2.0,canonicalized,False,0.0,6.647689087129759e-09,0.0,2.335576323113311e-08,3.7756699104002635e-08,6.111246233513574e-08,8.492633471133411e-08,0.0,True
calibration,2.0,naive,False,0.05042328042328037,0.12984764458270018,0.27173913043478265,0.07649019127064344,0.3297266388045388,0.4062168300751822,0.6022404059082883,0.3883264928318796,True
montage,bipolar18,canonicalized,False,0.021216931216931023,0.12336101090049663,0.213768115942029,0.15111253871838543,0.1086017017102833,0.25971424042866875,0.338181093698086,0.17199057515866714,True
montage,bipolar18,naive,False,0.02291005291005277,0.12479781330546968,0.22826086956521743,0.15256740102347127,0.11080803973778298,0.26337544076125424,0.3426135623790917,0.1835773584748272,True
montage,full19,canonicalized,True,0.0,6.647689087129759e-09,0.0,2.335576323113311e-08,3.7756699104002635e-08,6.111246233513574e-08,8.492633471133411e-08,0.0,True
montage,full19,naive,True,0.0,6.647689087129759e-09,0.0,2.335576323113311e-08,3.7756699104002635e-08,6.111246233513574e-08,8.492633471133411e-08,0.0,True
montage,legacy16,canonicalized,False,0.03470899470899458,0.3438780020422695,0.4746376811594203,0.2717224774658674,0.7001865984337208,0.9719090758995882,1.3627485049398085,0.10093403620720161,True
montage,legacy16,naive,False,0.027671957671957625,0.35007621367292685,0.47101449275362317,0.28143215813984457,0.7114210609622651,0.9928532191021097,1.3840568477432882,0.07904552377789167,True
power_line,0.0,canonicalized,True,0.0,6.647689087129759e-09,0.0,2.335576323113311e-08,3.7756699104002635e-08,6.111246233513574e-08,8.492633471133411e-08,0.0,True
power_line,0.0,naive,False,0.04814814814814805,0.2905754623010223,0.3224637681159421,0.3302674355133842,0.46440020228461104,0.7946676377979953,1.4402988312723264,0.16569929121636867,True
power_line,15.0,canonicalized,False,5.291005291019335e-05,0.0002015794967015825,0.007246376811594206,0.00019231747169062765,0.00046608265759421485,0.0006584001292848426,0.0008346267731952508,0.262477353976735,True
power_line,15.0,naive,False,0.2682539682539681,0.9983852904824868,0.9891304347826086,0.9920282926309115,0.999999992303217,1.9920282849341286,7.903965973656029,0.2686878210358345,True
power_line,30.0,canonicalized,False,2.220446049250313e-16,0.0002752045790854611,0.007246376811594206,0.0002707804217363766,0.0006742526265928687,0.0009450330483292453,0.0012407036037291445,8.068347033429205e-13,True
power_line,30.0,naive,False,0.25550264550264534,0.9998811396042309,0.9963768115942028,0.999142043290527,0.9999999990129846,1.9991420423035118,8.547143462277297,0.2555330182583276,True
power_line,5.0,canonicalized,False,5.2910052909860283e-05,6.638569687950817e-05,0.0,5.443329797717009e-05,0.00020399830816205972,0.0002584316061392298,0.0003559922229633215,0.797009828877649,True
power_line,5.0,naive,False,0.24523809523809514,0.9643087061078555,0.9166666666666666,0.9248401361303134,0.9997304430052315,1.924570579135545,6.287691114360278,0.254314923929211,True
power_line,60.0,canonicalized,False,0.0003174603174600499,0.0009031251199888005,0.018115942028985504,0.000991274957556192,0.002195712164599975,0.0031869871221561668,0.004294569750142602,0.3515131075791432,True
power_line,60.0,naive,False,0.2730687830687829,0.9999930889479575,1.0,0.9999175093761865,0.9999999990131373,1.999917508389324,8.98149422933338,0.27307067027439647,True
sampling_rate,128,canonicalized,False,0.23518518518518516,0.5973226505438036,0.6050724637681161,0.5059617913482775,0.8417315239465701,1.3476933152948476,3.169161310163142,0.3937322399729395,True
sampling_rate,128,naive,False,0.3406878306878305,0.2532417768394013,0.3369565217391305,0.06234495850960363,0.6225594500277808,0.6849044085373844,1.5223871252261425,1.345306587798446,True
sampling_rate,200,canonicalized,False,0.007513227513227361,0.04811976863096851,0.141304347826087,0.04481163381530832,0.11006057787508956,0.1548722116903979,0.198337930679516,0.1561359858324851,True
sampling_rate,200,naive,False,0.04740740740740734,0.09228994087231779,0.16666666666666669,0.13712670474845717,0.07346999160258427,0.21059669635104145,0.2631851810056816,0.5136790310982539,True
sampling_rate,250,canonicalized,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
