axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.748519,0.513333,0.338144,276,0.693728,0.807307
broadband,-5.0,naive,0.748519,0.513333,0.338144,276,0.693728,0.807307
broadband,0.0,canonicalized,0.816931,0.57,0.316864,276,0.76603,0.86413
broadband,0.0,naive,0.816931,0.57,0.316864,276,0.76603,0.86413
broadband,10.0,canonicalized,0.881799,0.696825,0.211156,276,0.842052,0.919794
broadband,10.0,naive,0.881799,0.696825,0.211156,276,0.842052,0.919794
broadband,20.0,canonicalized,0.899471,0.782381,0.132804,276,0.863013,0.931642
broadband,20.0,naive,0.899471,0.782381,0.132804,276,0.863013,0.931642
broadband,5.0,canonicalized,0.860688,0.635397,0.267329,276,0.817246,0.902865
broadband,5.0,naive,0.860688,0.635397,0.267329,276,0.817246,0.902865
calibration,0.5,canonicalized,0.903704,0.819048,0.121235,276,0.867612,0.935513
calibration,0.5,naive,0.830529,0.653492,0.316695,276,0.783701,0.876098
calibration,0.75,canonicalized,0.903704,0.819048,0.121235,276,0.867612,0.935513
calibration,0.75,naive,0.862116,0.725714,0.207167,276,0.816769,0.902179
calibration,1.0,canonicalized,0.903704,0.819048,0.121235,276,0.867612,0.935513
calibration,1.0,naive,0.883122,0.757778,0.150443,276,0.843954,0.919635
calibration,1.5,canonicalized,0.903704,0.819048,0.121235,276,0.867612,0.935513
calibration,1.5,naive,0.898413,0.781746,0.153786,276,0.861745,0.932709
calibration,2.0,canonicalized,0.903704,0.819048,0.121235,276,0.867612,0.935513
calibration,2.0,naive,0.891746,0.745556,0.216401,276,0.852849,0.926671
montage,bipolar18,canonicalized,0.88254,0.694921,0.245219,276,0.842372,0.917993
montage,bipolar18,naive,0.882381,0.695556,0.248774,276,0.841417,0.917782
montage,full19,canonicalized,0.903704,0.819048,0.121235,276,0.867612,0.935513
montage,full19,naive,0.903704,0.819048,0.121235,276,0.867612,0.935513
montage,legacy16,canonicalized,0.893968,0.757778,0.168006,276,0.854485,0.929792
montage,legacy16,naive,0.898413,0.758889,0.194893,276,0.860313,0.932081
power_line,0.0,canonicalized,0.903704,0.819048,0.121235,276,0.867612,0.935513
power_line,0.0,naive,0.896032,0.783016,0.161941,276,0.857142,0.929951
power_line,15.0,canonicalized,0.903704,0.819048,0.120995,276,0.867407,0.935663
power_line,15.0,naive,0.835397,0.506667,0.517491,276,0.789696,0.878307
power_line,30.0,canonicalized,0.903439,0.819048,0.121191,276,0.867192,0.935451
power_line,30.0,naive,0.745873,0.5,0.540742,276,0.681106,0.798892
power_line,5.0,canonicalized,0.903651,0.819048,0.121003,276,0.867403,0.935508
power_line,5.0,naive,0.890529,0.619365,0.393169,276,0.853958,0.92434
power_line,60.0,canonicalized,0.903598,0.819048,0.120943,276,0.8673,0.935562
power_line,60.0,naive,0.676402,0.5,0.543314,276,0.612639,0.739931
sampling_rate,128,canonicalized,0.90328,0.789048,0.146071,276,0.866282,0.935562
sampling_rate,128,naive,0.73455,0.572857,0.247103,276,0.66514,0.796193
sampling_rate,200,canonicalized,0.903757,0.808413,0.123183,276,0.867614,0.935722
sampling_rate,200,naive,0.882434,0.785873,0.101961,276,0.839772,0.920481
sampling_rate,250,canonicalized,0.903704,0.819048,0.121235,276,0.867612,0.935513
sampling_rate,250,naive,0.903704,0.819048,0.121235,276,0.867612,0.935513
sampling_rate,256,canonicalized,0.903757,0.819048,0.12097,276,0.867827,0.935616
sampling_rate,256,naive,0.897937,0.779683,0.165457,276,0.86047,0.931331
sampling_rate,512,canonicalized,0.903704,0.819048,0.120537,276,0.867763,0.935825
sampling_rate,512,naive,0.722857,0.535556,0.392247,276,0.658599,0.781745
