axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.878995,0.803016,0.046238,276,0.835622,0.92093
bandwidth,15.0,canonicalized,0.582804,0.48746,0.438804,276,0.517287,0.648368
bandwidth,20.0,canonicalized,0.56254,0.5,0.541311,276,0.496029,0.633247
bandwidth,25.0,canonicalized,0.75836,0.499365,0.514423,276,0.705816,0.815828
bandwidth,30.0,canonicalized,0.780847,0.606984,0.300089,276,0.722851,0.831336
bandwidth,40.0,canonicalized,0.635185,0.54746,0.322382,276,0.56513,0.702702
bandwidth,50.0,canonicalized,0.634974,0.494762,0.499967,276,0.570889,0.701488
bandwidth,64.0,canonicalized,0.607513,0.506032,0.492147,276,0.537033,0.669798
bandwidth,80.0,canonicalized,0.854656,0.78254,0.061211,276,0.806393,0.895201
