axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.685185,0.5,0.434589,276,0.621954,0.744684
broadband,-5.0,naive,0.685185,0.5,0.434589,276,0.621954,0.744684
broadband,0.0,canonicalized,0.739259,0.5,0.413366,276,0.684966,0.79593
broadband,0.0,naive,0.739259,0.5,0.413366,276,0.684966,0.79593
broadband,10.0,canonicalized,0.809365,0.628095,0.286216,276,0.758536,0.858944
broadband,10.0,naive,0.809365,0.628095,0.286216,276,0.758536,0.858944
broadband,20.0,canonicalized,0.869841,0.739683,0.17875,276,0.829045,0.907684
broadband,20.0,naive,0.869841,0.739683,0.17875,276,0.829045,0.907684
broadband,5.0,canonicalized,0.774974,0.533333,0.361183,276,0.722057,0.829127
broadband,5.0,naive,0.774974,0.533333,0.361183,276,0.722057,0.829127
calibration,0.5,canonicalized,0.903492,0.806508,0.122812,276,0.866959,0.93831
calibration,0.5,naive,0.884021,0.792063,0.104315,276,0.845128,0.924286
calibration,0.75,canonicalized,0.903492,0.806508,0.122812,276,0.866959,0.93831
calibration,0.75,naive,0.886614,0.792698,0.114216,276,0.848198,0.925472
calibration,1.0,canonicalized,0.903492,0.806508,0.122812,276,0.866959,0.93831
calibration,1.0,naive,0.889312,0.793333,0.119123,276,0.851315,0.927587
calibration,1.5,canonicalized,0.903492,0.806508,0.122812,276,0.866959,0.93831
calibration,1.5,naive,0.89127,0.797937,0.124373,276,0.852837,0.929907
calibration,2.0,canonicalized,0.903492,0.806508,0.122812,276,0.866959,0.93831
calibration,2.0,naive,0.891323,0.797937,0.126737,276,0.853315,0.930001
montage,bipolar18,canonicalized,0.856349,0.558095,0.33413,276,0.809828,0.902224
montage,bipolar18,naive,0.854603,0.551429,0.333352,276,0.807194,0.89932
montage,full19,canonicalized,0.903492,0.806508,0.122812,276,0.866959,0.93831
montage,full19,naive,0.903492,0.806508,0.122812,276,0.866959,0.93831
montage,legacy16,canonicalized,0.856561,0.506032,0.445216,276,0.807164,0.896673
montage,legacy16,naive,0.855132,0.506667,0.452444,276,0.809087,0.896101
power_line,0.0,canonicalized,0.903492,0.806508,0.122812,276,0.866959,0.93831
power_line,0.0,naive,0.895132,0.799206,0.124061,276,0.859311,0.932545
power_line,15.0,canonicalized,0.903651,0.806508,0.123662,276,0.867373,0.938472
power_line,15.0,naive,0.761693,0.675873,0.223659,276,0.697284,0.818415
power_line,30.0,canonicalized,0.903439,0.806508,0.123717,276,0.867,0.938418
power_line,30.0,naive,0.742381,0.55619,0.365569,276,0.681942,0.798783
power_line,5.0,canonicalized,0.903545,0.806508,0.122837,276,0.867012,0.938361
power_line,5.0,naive,0.863915,0.788254,0.090711,276,0.819462,0.9098
power_line,60.0,canonicalized,0.903069,0.809841,0.123481,276,0.866327,0.937996
power_line,60.0,naive,0.648783,0.515873,0.425213,276,0.579201,0.708893
sampling_rate,128,canonicalized,0.833122,0.5,0.514616,276,0.784265,0.882138
sampling_rate,128,naive,0.848783,0.634921,0.252887,276,0.798922,0.895161
sampling_rate,200,canonicalized,0.898307,0.816667,0.086399,276,0.863119,0.935769
sampling_rate,200,naive,0.842063,0.749683,0.086702,276,0.794335,0.889791
sampling_rate,250,canonicalized,0.903492,0.806508,0.122812,276,0.866959,0.93831
sampling_rate,250,naive,0.903492,0.806508,0.122812,276,0.866959,0.93831
sampling_rate,256,canonicalized,0.903598,0.809841,0.122315,276,0.866864,0.938467
sampling_rate,256,naive,0.89672,0.801111,0.15076,276,0.859181,0.934978
sampling_rate,512,canonicalized,0.903545,0.80254,0.122602,276,0.866898,0.93847
sampling_rate,512,naive,0.613968,0.491429,0.515875,276,0.549536,0.680056
