axis,severity,arm,identity,d_auroc,tv_marginal,tv_marginal_hist,tv_pos,tv_neg,cc_bound,pinsker_cc,implied_C,cc_holds
broadband,-5.0,canonicalized,False,0.19894179894179898,0.8666590636192975,0.9239130434782609,0.8106514284931186,0.9979265107860609,1.8085779392791794,2.9566084544654943,0.22955024333443,True
broadband,-5.0,naive,False,0.19894179894179898,0.8666590636192975,0.9239130434782609,0.8106514284931186,0.9979265107860609,1.8085779392791794,2.9566084544654943,0.22955024333443,True
broadband,0.0,canonicalized,False,0.15502645502645507,0.7761202863845035,0.8478260869565217,0.7242583567033182,0.9879190430354471,1.7121773997387653,2.6631431703071704,0.1997453973901827,True
broadband,0.0,naive,False,0.15502645502645507,0.7761202863845035,0.8478260869565217,0.7242583567033182,0.9879190430354471,1.7121773997387653,2.6631431703071704,0.1997453973901827,True
broadband,10.0,canonicalized,False,0.08693121693121697,0.42080293142367997,0.5833333333333334,0.32282355385364414,0.779728800470867,1.1025523543245113,1.6707579998673654,0.20658415243712122,True
broadband,10.0,naive,False,0.08693121693121697,0.42080293142367997,0.5833333333333334,0.32282355385364414,0.779728800470867,1.1025523543245113,1.6707579998673654,0.20658415243712122,True
broadband,20.0,canonicalized,False,0.060529100529100544,0.20585641237707147,0.3188405797101449,0.16133711975660361,0.44968813101625427,0.6110252507728579,0.9437072666071732,0.29403553588716064,True
broadband,20.0,naive,False,0.060529100529100544,0.20585641237707147,0.3188405797101449,0.16133711975660361,0.44968813101625427,0.6110252507728579,0.9437072666071732,0.29403553588716064,True
broadband,5.0,canonicalized,False,0.11978835978835978,0.6047040291014155,0.7065217391304348,0.5186522273280729,0.9311003154820763,1.4497525428101492,2.171257822951766,0.19809419819207116,True
broadband,5.0,naive,False,0.11978835978835978,0.6047040291014155,0.7065217391304348,0.5186522273280729,0.9311003154820763,1.4497525428101492,2.171257822951766,0.19809419819207116,True
calibration,0.5,canonicalized,False,0.0,1.3079089419619627e-07,0.0,2.1667427169166792e-07,8.696824556843549e-08,3.036425172601034e-07,4.4267323247557893e-07,0.0,True
