axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.663386,0.5,0.335048,276,0.598712,0.72505
broadband,-5.0,naive,0.663386,0.5,0.335048,276,0.598712,0.72505
broadband,0.0,canonicalized,0.768254,0.5,0.32573,276,0.711956,0.817795
broadband,0.0,naive,0.768254,0.5,0.32573,276,0.711956,0.817795
broadband,10.0,canonicalized,0.833175,0.563333,0.289261,276,0.782952,0.877993
broadband,10.0,naive,0.833175,0.563333,0.289261,276,0.782952,0.877993
broadband,20.0,canonicalized,0.842646,0.676349,0.163547,276,0.793173,0.885508
broadband,20.0,naive,0.842646,0.676349,0.163547,276,0.793173,0.885508
broadband,5.0,canonicalized,0.797354,0.52,0.305282,276,0.74623,0.847041
broadband,5.0,naive,0.797354,0.52,0.305282,276,0.74623,0.847041
calibration,0.5,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779
calibration,0.5,naive,0.836772,0.591429,0.333427,276,0.789937,0.883074
calibration,0.75,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779
calibration,0.75,naive,0.848942,0.695714,0.201418,276,0.801988,0.891323
calibration,1.0,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779
calibration,1.0,naive,0.865608,0.76254,0.122802,276,0.820774,0.908635
calibration,1.5,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779
calibration,1.5,naive,0.869788,0.760635,0.114979,276,0.825751,0.910854
calibration,2.0,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779
calibration,2.0,naive,0.850847,0.721587,0.207051,276,0.804921,0.893086
montage,bipolar18,canonicalized,0.880053,0.816667,0.084177,276,0.839946,0.919157
montage,bipolar18,naive,0.87836,0.813333,0.087012,276,0.837344,0.918787
montage,full19,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779
montage,full19,naive,0.90127,0.833968,0.06776,276,0.860517,0.936779
montage,legacy16,canonicalized,0.866561,0.542698,0.380645,276,0.823589,0.909493
montage,legacy16,naive,0.873598,0.542698,0.385535,276,0.82962,0.913869
power_line,0.0,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779
power_line,0.0,naive,0.853122,0.676825,0.275663,276,0.803173,0.898266
power_line,15.0,canonicalized,0.901323,0.833968,0.065715,276,0.860316,0.936725
power_line,15.0,naive,0.633016,0.5,0.543468,276,0.570476,0.701189
power_line,30.0,canonicalized,0.90127,0.833968,0.067886,276,0.860316,0.936724
power_line,30.0,naive,0.645767,0.5,0.543476,276,0.579515,0.716142
power_line,5.0,canonicalized,0.901217,0.833968,0.065633,276,0.860464,0.936573
power_line,5.0,naive,0.656032,0.5,0.543002,276,0.592646,0.72355
power_line,60.0,canonicalized,0.900952,0.833968,0.070578,276,0.860316,0.936402
power_line,60.0,naive,0.628201,0.5,0.543478,276,0.562222,0.703448
sampling_rate,128,canonicalized,0.666085,0.499365,0.487932,276,0.602906,0.726001
sampling_rate,128,naive,0.560582,0.554603,0.314754,276,0.493056,0.624821
sampling_rate,200,canonicalized,0.893757,0.805873,0.114976,276,0.851373,0.93
sampling_rate,200,naive,0.853862,0.791905,0.075985,276,0.806136,0.898418
sampling_rate,250,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779
sampling_rate,250,naive,0.90127,0.833968,0.06776,276,0.860517,0.936779
sampling_rate,256,canonicalized,0.900952,0.833968,0.064829,276,0.859947,0.936667
sampling_rate,256,naive,0.895503,0.819841,0.132904,276,0.851056,0.932915
sampling_rate,512,canonicalized,0.901217,0.833968,0.065328,276,0.860414,0.936779
sampling_rate,512,naive,0.405926,0.5,0.539998,276,0.335542,0.465566
