axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.892857,0.795714,0.059617,276,0.854754,0.92921
bandwidth,100.0,naive,0.892857,0.795714,0.059617,276,0.854754,0.92921
bandwidth,15.0,canonicalized,0.870423,0.5,0.54156,276,0.826024,0.910616
bandwidth,15.0,naive,0.870423,0.5,0.54156,276,0.826024,0.910616
bandwidth,20.0,canonicalized,0.848624,0.5,0.540689,276,0.799878,0.893071
bandwidth,20.0,naive,0.848624,0.5,0.540689,276,0.799878,0.893071
bandwidth,25.0,canonicalized,0.84,0.5,0.534711,276,0.79153,0.887038
bandwidth,25.0,naive,0.84,0.5,0.534711,276,0.79153,0.887038
bandwidth,30.0,canonicalized,0.833386,0.5,0.517338,276,0.786171,0.881218
bandwidth,30.0,naive,0.833386,0.5,0.517338,276,0.786171,0.881218
bandwidth,40.0,canonicalized,0.823228,0.491429,0.490154,276,0.772943,0.873396
bandwidth,40.0,naive,0.823228,0.491429,0.490154,276,0.772943,0.873396
bandwidth,50.0,canonicalized,0.817513,0.494127,0.471242,276,0.765811,0.867888
bandwidth,50.0,naive,0.817513,0.494127,0.471242,276,0.765811,0.867888
bandwidth,64.0,canonicalized,0.813492,0.514127,0.41681,276,0.762638,0.864459
bandwidth,64.0,naive,0.813492,0.514127,0.41681,276,0.762638,0.864459
bandwidth,80.0,canonicalized,0.853757,0.604286,0.291579,276,0.810048,0.898794
bandwidth,80.0,naive,0.853757,0.604286,0.291579,276,0.810048,0.898794
