axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.900423,0.82619,0.050622,276,0.861628,0.937149
bandwidth,15.0,canonicalized,0.801323,0.595556,0.332199,276,0.748642,0.851463
bandwidth,20.0,canonicalized,0.585291,0.5,0.54323,276,0.518197,0.652497
bandwidth,25.0,canonicalized,0.802063,0.5,0.541498,276,0.749201,0.852225
bandwidth,30.0,canonicalized,0.839577,0.542698,0.443182,276,0.78693,0.887148
bandwidth,40.0,canonicalized,0.79455,0.572063,0.386615,276,0.741095,0.843772
bandwidth,50.0,canonicalized,0.69582,0.503333,0.530037,276,0.63222,0.751979
bandwidth,64.0,canonicalized,0.66037,0.5,0.527805,276,0.596185,0.720343
bandwidth,80.0,canonicalized,0.80672,0.591429,0.39187,276,0.749628,0.852176
