axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.898889,0.817302,0.079417,276,0.857403,0.934287
bandwidth,15.0,canonicalized,0.806402,0.575397,0.378264,276,0.755758,0.855397
bandwidth,20.0,canonicalized,0.701905,0.5,0.541837,276,0.640417,0.761411
bandwidth,25.0,canonicalized,0.836402,0.5,0.539092,276,0.786774,0.881905
bandwidth,30.0,canonicalized,0.855238,0.496032,0.471416,276,0.807669,0.899052
bandwidth,40.0,canonicalized,0.814392,0.601587,0.298517,276,0.760254,0.862016
bandwidth,50.0,canonicalized,0.695661,0.503333,0.504887,276,0.6347,0.751655
bandwidth,64.0,canonicalized,0.677989,0.506032,0.479277,276,0.614749,0.736311
bandwidth,80.0,canonicalized,0.801746,0.584762,0.387121,276,0.746813,0.847836
