axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.902434,0.832698,0.060263,276,0.864492,0.93678
bandwidth,15.0,canonicalized,0.900265,0.628095,0.328961,276,0.861054,0.934393
bandwidth,20.0,canonicalized,0.901534,0.812381,0.144438,276,0.862903,0.934709
bandwidth,25.0,canonicalized,0.904286,0.819365,0.06748,276,0.867136,0.936774
bandwidth,30.0,canonicalized,0.904921,0.824762,0.04879,276,0.867353,0.937515
bandwidth,40.0,canonicalized,0.905132,0.830794,0.042201,276,0.867831,0.937254
bandwidth,50.0,canonicalized,0.905767,0.830794,0.043439,276,0.868611,0.936993
bandwidth,64.0,canonicalized,0.902857,0.82873,0.065023,276,0.864488,0.935452
bandwidth,80.0,canonicalized,0.902434,0.832698,0.069207,276,0.864284,0.935663
