axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.690688,0.5,0.505833,276,0.630775,0.748635
broadband,-5.0,naive,0.690688,0.5,0.505833,276,0.630775,0.748635
broadband,0.0,canonicalized,0.734603,0.5,0.497925,276,0.67862,0.791968
broadband,0.0,naive,0.734603,0.5,0.497925,276,0.67862,0.791968
broadband,10.0,canonicalized,0.802698,0.536667,0.421177,276,0.747882,0.854234
broadband,10.0,naive,0.802698,0.536667,0.421177,276,0.747882,0.854234
broadband,20.0,canonicalized,0.829101,0.649524,0.280755,276,0.779733,0.873388
broadband,20.0,naive,0.829101,0.649524,0.280755,276,0.779733,0.873388
broadband,5.0,canonicalized,0.769841,0.5,0.473119,276,0.714755,0.827749
broadband,5.0,naive,0.769841,0.5,0.473119,276,0.714755,0.827749
calibration,0.5,canonicalized,0.88963,0.805397,0.086971,276,0.849515,0.925399
calibration,0.5,naive,0.87672,0.78381,0.05694,276,0.832114,0.916149
calibration,0.75,canonicalized,0.88963,0.805397,0.086971,276,0.849515,0.925399
calibration,0.75,naive,0.879206,0.789048,0.068194,276,0.836401,0.918417
calibration,1.0,canonicalized,0.88963,0.805397,0.086971,276,0.849515,0.925399
calibration,1.0,naive,0.881799,0.800952,0.060213,276,0.838991,0.919644
calibration,1.5,canonicalized,0.88963,0.805397,0.086971,276,0.849515,0.925399
calibration,1.5,naive,0.882804,0.805556,0.060501,276,0.840713,0.920541
calibration,2.0,canonicalized,0.88963,0.805397,0.086971,276,0.849515,0.925399
calibration,2.0,naive,0.883016,0.802222,0.062558,276,0.840525,0.921008
montage,bipolar18,canonicalized,0.885979,0.65746,0.273707,276,0.844279,0.925608
montage,bipolar18,naive,0.885291,0.650794,0.270449,276,0.84353,0.924606
montage,full19,canonicalized,0.88963,0.805397,0.086971,276,0.849515,0.925399
montage,full19,naive,0.88963,0.805397,0.086971,276,0.849515,0.925399
montage,legacy16,canonicalized,0.837302,0.546667,0.394535,276,0.787669,0.88172
montage,legacy16,naive,0.837619,0.536667,0.407447,276,0.788353,0.879323
power_line,0.0,canonicalized,0.88963,0.805397,0.086971,276,0.849515,0.925399
power_line,0.0,naive,0.879735,0.794762,0.090036,276,0.837235,0.919259
power_line,15.0,canonicalized,0.89,0.805397,0.08698,276,0.850403,0.925821
power_line,15.0,naive,0.806931,0.67127,0.238222,276,0.747353,0.857159
power_line,30.0,canonicalized,0.889577,0.805397,0.08699,276,0.849679,0.925663
power_line,30.0,naive,0.79836,0.55619,0.351074,276,0.74169,0.848419
power_line,5.0,canonicalized,0.889735,0.805397,0.086931,276,0.849679,0.925456
power_line,5.0,naive,0.86,0.781905,0.046563,276,0.81407,0.904507
power_line,60.0,canonicalized,0.889259,0.805397,0.085947,276,0.849455,0.925398
power_line,60.0,naive,0.682963,0.515873,0.401471,276,0.617385,0.744509
sampling_rate,128,canonicalized,0.813968,0.514127,0.418979,276,0.763122,0.864508
sampling_rate,128,naive,0.800053,0.728889,0.112459,276,0.744548,0.852079
sampling_rate,200,canonicalized,0.901376,0.816349,0.054192,276,0.866078,0.93588
sampling_rate,200,naive,0.845026,0.78127,0.041231,276,0.792796,0.888575
sampling_rate,250,canonicalized,0.88963,0.805397,0.086971,276,0.849515,0.925399
sampling_rate,250,naive,0.88963,0.805397,0.086971,276,0.849515,0.925399
sampling_rate,256,canonicalized,0.890159,0.80873,0.090349,276,0.849889,0.925931
sampling_rate,256,naive,0.885344,0.796667,0.106323,276,0.844933,0.922975
sampling_rate,512,canonicalized,0.89,0.802063,0.085426,276,0.849939,0.925926
sampling_rate,512,naive,0.625608,0.496825,0.456481,276,0.563097,0.69064
